,Name,Status,Population,Address,location,point,latitude,longitude,altitude
288,Petit Café,Urban Community,443,"Petit Café, Trinidad and Tobago","Petit Cafe, New Grant, Princes Town, Trinidad and Tobago","(10.2697337, -61.3392075, 0.0)",10.2697337,-61.3392075,0.0
289,Petit Morne,Urban Community,681,"Petit Morne, Trinidad and Tobago","Petit Valley Girls RC School, Morne Coco Road, Federation Park, Port of Spain, 17005, Trinidad and Tobago","(10.70988565, -61.54682727145868, 0.0)",10.70988565,-61.54682727145868,0.0
290,Princes Town Proper,Urban Community,9233,"Princes Town Proper, Trinidad and Tobago",,,,,
291,Reform Village,Urban Community,1009,"Reform Village, Trinidad and Tobago","Reform, Princes Town, 602418, Trinidad and Tobago","(10.3069096, -61.4150147, 0.0)",10.3069096,-61.4150147,0.0
292,Robert Village,Semi-Urban Community,831,"Robert Village, Trinidad and Tobago","Robert Street, Warrensville, Kelly Village, 00000, Trinidad and Tobago","(10.5782185, -61.3780243, 0.0)",10.5782185,-61.3780243,0.0
293,Sisters Village,Urban Community,4254,"Sisters Village, Trinidad and Tobago","Sisters, Trinidad and Tobago","(11.332574, -60.6444479, 0.0)",11.332574,-60.6444479,0.0
294,Sixth Company,Urban Community,3443,"Sixth Company, Trinidad and Tobago","Sixth, Sunrise Park, Arouca, Five Rivers, 1 868-681-2822, Trinidad and Tobago","(10.6426431, -61.3472419, 0.0)",10.6426431,-61.3472419,0.0
295,St. Charles Village,Urban Community,1130,"St. Charles Village, Trinidad and Tobago",,,,,
296,St. Clements,Urban Community,297,"St. Clements, Trinidad and Tobago",,,,,
297,St. Croix Village [↑ partly also in Penal/Debe],Urban Community,5424,"St. Croix Village [↑ partly also in Penal/Debe], Trinidad and Tobago",,,,,
298,Ste. Madeleine,Urban Community,2450,"Ste. Madeleine, Trinidad and Tobago","Sainte Madeleine, Princes Town, 602418, Trinidad and Tobago","(10.2713757, -61.4318642, 0.0)",10.2713757,-61.4318642,0.0
299,St. Julien,Urban Community,1580,"St. Julien, Trinidad and Tobago","Julien Street, Point Fortin, 700147, Trinidad and Tobago","(10.1513807, -61.6786733, 0.0)",10.1513807,-61.6786733,0.0
300,St. Mary's Village,Rural Community,6242,"St. Mary's Village, Trinidad and Tobago","St. Mary's, Paria Main Road, Toco, Trinidad and Tobago","(10.8678055, -60.9820892, 0.0)",10.8678055,-60.9820892,0.0
301,Tableland,Semi-Urban Community,620,"Tableland, Trinidad and Tobago","Tableland, Princes Town, Trinidad and Tobago","(10.2777579, -61.2575091, 0.0)",10.2777579,-61.2575091,0.0
302,Usine Ste. Madeleine,Semi-Urban Community,495,"Usine Ste. Madeleine, Trinidad and Tobago","Usine Golf Course, Sainte Madeleine, Princes Town, Trinidad and Tobago","(10.259002800000001, -61.42043962035834, 0.0)",10.259002800000001,-61.42043962035834,0.0
303,San Fernando,City,48838,"San Fernando, Trinidad and Tobago","San Fernando, Trinidad and Tobago","(10.280212500000001, -61.45415040573309, 0.0)",10.280212500000001,-61.45415040573309,0.0
304,Broadway,Urban Community,441,"Broadway, Trinidad and Tobago","Broadway, Downtown, Port of Spain, 150123, Trinidad and Tobago","(10.6476587, -61.5095195, 0.0)",10.6476587,-61.5095195,0.0
305,City Proper,Urban Community,1933,"City Proper, Trinidad and Tobago",,,,,
306,Cocoyea Village,Urban Community,4427,"Cocoyea Village, Trinidad and Tobago","Mon Repos - Cocoyea Roundabout, Mon Repos, San Fernando, Trinidad and Tobago","(10.280162350000001, -61.44764060526275, 0.0)",10.280162350000001,-61.44764060526275,0.0
307,Embacadere,Urban Community,1536,"Embacadere, Trinidad and Tobago",,,,,
308,Green Acres,Urban Community,709,"Green Acres, Trinidad and Tobago","Green Acres, Sangre Grande, 450626, Trinidad and Tobago","(10.599792, -61.1211066, 0.0)",10.599792,-61.1211066,0.0
309,Gulf View,Urban Community,2576,"Gulf View, Trinidad and Tobago","Gulf View, San Fernando, 600301, Trinidad and Tobago","(10.2587429, -61.4771189, 0.0)",10.2587429,-61.4771189,0.0
310,Les Efforts East,Urban Community,845,"Les Efforts East, Trinidad and Tobago",,,,,
311,Les Efforts West,Urban Community,1587,"Les Efforts West, Trinidad and Tobago",,,,,
312,Lower Hill Side,Urban Community,1089,"Lower Hill Side, Trinidad and Tobago",,,,,
313,Marabella,Urban Community,9810,"Marabella, Trinidad and Tobago","Marabella, San Fernando, VISTABELLA, Trinidad and Tobago","(10.3073477, -61.4518649, 0.0)",10.3073477,-61.4518649,0.0
314,Maraj Lands,Urban Community,972,"Maraj Lands, Trinidad and Tobago",,,,,
315,Mon Repos,Urban Community,1920,"Mon Repos, Trinidad and Tobago","Mon Repos, San Fernando, VISTABELLA, Trinidad and Tobago","(10.2832527, -61.4500825, 0.0)",10.2832527,-61.4500825,0.0
316,Navet Village,Urban Community,239,"Navet Village, Trinidad and Tobago","Navet Road, San Fernando, 1898, Trinidad and Tobago","(10.2766267, -61.4529649, 0.0)",10.2766267,-61.4529649,0.0
317,Paradise,Urban Community,1582,"Paradise, Trinidad and Tobago","Paradise, Trincity Mall, Sunrise Park, Arouca, Trincity, 350509, Trinidad and Tobago","(10.6269648, -61.3542334, 0.0)",10.6269648,-61.3542334,0.0
318,Pleasantville,Urban Community,6717,"Pleasantville, Trinidad and Tobago","Pleasantville, San Fernando, 1898, Trinidad and Tobago","(10.2711006, -61.4479818, 0.0)",10.2711006,-61.4479818,0.0
319,St. Joseph Village,Urban Community,1751,"St. Joseph Village, Trinidad and Tobago","Saint Joseph Village, San Fernando, VISTABELLA, Trinidad and Tobago","(10.287982, -61.4491726, 0.0)",10.287982,-61.4491726,0.0
320,Tarouba,Urban Community,2583,"Tarouba, Trinidad and Tobago","Tarouba, San Fernando, Trinidad and Tobago","(10.294117499999999, -61.440096777776006, 0.0)",10.294117499999999,-61.440096777776006,0.0
321,Union Park,Urban Community,2698,"Union Park, Trinidad and Tobago","Union Park, Gopaul Lands, San Fernando, VISTABELLA, Trinidad and Tobago","(10.3011182, -61.4402726, 0.0)",10.3011182,-61.4402726,0.0
322,Union Village,Semi-Urban Community,509,"Union Village, Trinidad and Tobago","Union Village, La Brea, Siparia, Trinidad and Tobago","(10.2116164, -61.6329979, 0.0)",10.2116164,-61.6329979,0.0
323,Victoria Village,Urban Community,427,"Victoria Village, Trinidad and Tobago","Trinidad y Tobago, Antonio Castillo, Durango, Municipio de Durango, Durango, 34237, México","(24.0158505, -104.5908744, 0.0)",24.0158505,-104.5908744,0.0
324,Vistabella,Urban Community,4442,"Vistabella, Trinidad and Tobago","Vistabella, San Fernando, VISTABELLA, Trinidad and Tobago","(10.2907569, -61.4547059, 0.0)",10.2907569,-61.4547059,0.0
325,Sangre Grande,Region,75766,"Sangre Grande, Trinidad and Tobago","Sangre Grande, Port of Spain, 450626, Trinidad and Tobago","(10.5869196, -61.1284394, 0.0)",10.5869196,-61.1284394,0.0
326,Anglais Settlement,Rural Community,379,"Anglais Settlement, Trinidad and Tobago",,,,,
327,Balandra,Rural Community,122,"Balandra, Trinidad and Tobago","Balandra, Balandra Depot Road, Rampanalgas, Trinidad and Tobago","(10.7215357, -60.9873461, 0.0)",10.7215357,-60.9873461,0.0
328,Brooklyn Settlement,Rural Community,280,"Brooklyn Settlement, Trinidad and Tobago",,,,,
329,Caigual,Rural Community,630,"Caigual, Trinidad and Tobago","Caigual Road, Lower Fishing Pond, Trinidad and Tobago","(10.5545351, -61.0613971, 0.0)",10.5545351,-61.0613971,0.0
330,Carmichael,Semi-Urban Community,114,"Carmichael, Trinidad and Tobago","Carmichael Village Trace, Coryal, Trinidad and Tobago","(10.4984993, -61.1971049, 0.0)",10.4984993,-61.1971049,0.0
331,Coal Mine,Semi-Urban Community,2207,"Coal Mine, Trinidad and Tobago",,,,,
332,Coryal,Rural Community,1045,"Coryal, Trinidad and Tobago","Coryal, Port of Spain, Trinidad and Tobago","(10.5109621, -61.1853888, 0.0)",10.5109621,-61.1853888,0.0
333,Cumaca,Rural Community,56,"Cumaca, Trinidad and Tobago","Cumaca, Port of Spain, Trinidad and Tobago","(10.7132736, -61.1474666, 0.0)",10.7132736,-61.1474666,0.0
334,Cumana,Rural Community,1118,"Cumana, Trinidad and Tobago","Cumana, Toco, Trinidad and Tobago","(10.7967324, -60.9445038, 0.0)",10.7967324,-60.9445038,0.0
335,Cumuto,Semi-Urban Community,3623,"Cumuto, Trinidad and Tobago","Camp Cumuto, Valencia, Trinidad and Tobago","(10.635003099999999, -61.209909561258456, 0.0)",10.635003099999999,-61.209909561258456,0.0
336,Cunaripo,Urban Community,2338,"Cunaripo, Trinidad and Tobago",,,,,
337,Fishing Pond,Semi-Urban Community,3058,"Fishing Pond, Trinidad and Tobago","Lower Fishing Pond, Port of Spain, Trinidad and Tobago","(10.5727516, -61.0477902, 0.0)",10.5727516,-61.0477902,0.0
338,Four Roads - Tamana,Semi-Urban Community,658,"Four Roads - Tamana, Trinidad and Tobago","Four Roads Tamana, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.4875465, -61.2149975, 0.0)",10.4875465,-61.2149975,0.0
339,Grand Riviere,Rural Community,392,"Grand Riviere, Trinidad and Tobago","Grand Riviere, Paria Main Road, Toco, Trinidad and Tobago","(10.8282776, -61.04900039966034, 0.0)",10.8282776,-61.04900039966034,0.0
340,Guaico,Urban Community,3058,"Guaico, Trinidad and Tobago","Guaico, Sangre Grande, 450626, Trinidad and Tobago","(10.5862822, -61.1446012, 0.0)",10.5862822,-61.1446012,0.0
341,Guatopajaro,Rural Community,375,"Guatopajaro, Trinidad and Tobago",,,,,
342,Howsen Village,Semi-Urban Community,408,"Howsen Village, Trinidad and Tobago","Howsen Village Street, Coryal, Trinidad and Tobago","(10.5258821, -61.1798251, 0.0)",10.5258821,-61.1798251,0.0
343,L'Anse Noir,Rural Community,347,"L'Anse Noir, Trinidad and Tobago",,,,,
344,Mahoe,Rural Community,80,"Mahoe, Trinidad and Tobago","Mahoe Boulevard, The Crossings, Santa Rosa, Arima, 300831, Trinidad and Tobago","(10.6156771, -61.2668498, 0.0)",10.6156771,-61.2668498,0.0
345,Manzanilla,Semi-Urban Community,2279,"Manzanilla, Trinidad and Tobago","Manzanilla, Port of Spain, Trinidad and Tobago","(10.5274269, -61.0635154, 0.0)",10.5274269,-61.0635154,0.0
346,Maraj Hill,Urban Community,2300,"Maraj Hill, Trinidad and Tobago","Maraj, Tunapuna, 686, Trinidad and Tobago","(10.6410502, -61.3914422, 0.0)",10.6410502,-61.3914422,0.0
347,Matelot,Rural Community,553,"Matelot, Trinidad and Tobago","Matelot, Port of Spain, Trinidad and Tobago","(10.820391, -61.12687, 0.0)",10.820391,-61.12687,0.0
348,Matura,Rural Community,1772,"Matura, Trinidad and Tobago","Matura, Port of Spain, Trinidad and Tobago","(10.6635959, -61.0744581, 0.0)",10.6635959,-61.0744581,0.0
349,Melajo,Rural Community,768,"Melajo, Trinidad and Tobago","Melajo Street, Lower Fishing Pond, Trinidad and Tobago","(10.6121968, -61.0721273, 0.0)",10.6121968,-61.0721273,0.0
350,Mission,Rural Community,289,"Mission, Trinidad and Tobago","Mission, Toco, Trinidad and Tobago","(10.8342628, -60.9673267, 0.0)",10.8342628,-60.9673267,0.0
351,Monte Video,Rural Community,148,"Monte Video, Trinidad and Tobago",,,,,
352,Morin Bay,Rural Community,382,"Morin Bay, Trinidad and Tobago",,,,,
353,North Manzanilla,Rural Community,286,"North Manzanilla, Trinidad and Tobago","Manzanilla, Port of Spain, Trinidad and Tobago","(10.5274269, -61.0635154, 0.0)",10.5274269,-61.0635154,0.0
354,Oropouche,Rural Community,2157,"Oropouche, Trinidad and Tobago","Oropouche, Siparia, Trinidad and Tobago","(10.2170017, -61.5432008, 0.0)",10.2170017,-61.5432008,0.0
355,Plum Mitan,Rural Community,1471,"Plum Mitan, Trinidad and Tobago","Plum Mitan, Port of Spain, Trinidad and Tobago","(10.4609759, -61.0947945, 0.0)",10.4609759,-61.0947945,0.0
356,Rampanalgas,Rural Community,403,"Rampanalgas, Trinidad and Tobago","Rampanalgas, Port of Spain, Trinidad and Tobago","(10.7315526, -60.9842123, 0.0)",10.7315526,-60.9842123,0.0
357,Salybia Village,Rural Community,246,"Salybia Village, Trinidad and Tobago","Salybia, Port of Spain, Trinidad and Tobago","(10.704133, -61.027046, 0.0)",10.704133,-61.027046,0.0
358,Sangre Chiquito,Urban Community,3421,"Sangre Chiquito, Trinidad and Tobago","Trinidad Christian Center, Sangre Chiquito, Sangre Grande, 52, Eastern Main Rd, Coalmine, 460626, Trinidad and Tobago","(10.566188, -61.106435, 0.0)",10.566188,-61.106435,0.0
359,Sangre Grande,Urban Community,20710,"Sangre Grande, Trinidad and Tobago","Sangre Grande, Port of Spain, 450626, Trinidad and Tobago","(10.5869196, -61.1284394, 0.0)",10.5869196,-61.1284394,0.0
360,San Souci,Rural Community,476,"San Souci, Trinidad and Tobago",,,,,
361,Tamana,Semi-Urban Community,1641,"Tamana, Trinidad and Tobago","Four Roads Tamana, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.4875465, -61.2149975, 0.0)",10.4875465,-61.2149975,0.0
362,Toco,Rural Community,1182,"Toco, Trinidad and Tobago","Toco, Port of Spain, Trinidad and Tobago","(10.8368357, -60.9376753, 0.0)",10.8368357,-60.9376753,0.0
363,Tompire,Rural Community,115,"Tompire, Trinidad and Tobago","Tompire River, Scarborough, Trinidad and Tobago","(10.7812898, -60.9510665, 0.0)",10.7812898,-60.9510665,0.0
364,Turure,Urban Community,2234,"Turure, Trinidad and Tobago","Turure Road, Guaico, 450626, Trinidad and Tobago","(10.6004676, -61.1598354, 0.0)",10.6004676,-61.1598354,0.0
365,Valencia,Rural Community,12334,"Valencia, Trinidad and Tobago","Valencia, Port of Spain, Trinidad and Tobago","(10.6535689, -61.1942361, 0.0)",10.6535689,-61.1942361,0.0
366,San Juan/Laventille,Region,157258,"San Juan/Laventille, Trinidad and Tobago","Laventille, Port of Spain, N/A, Trinidad and Tobago","(10.6486237, -61.4900529, 0.0)",10.6486237,-61.4900529,0.0
367,Aranguez,Rural Community,7404,"Aranguez, Trinidad and Tobago","Aranguez, Port of Spain, 868, Trinidad and Tobago","(10.6408594, -61.4429874, 0.0)",10.6408594,-61.4429874,0.0
368,Barataria,Urban Community,9389,"Barataria, Trinidad and Tobago","Barataria, Port of Spain, 120110, Trinidad and Tobago","(10.64986, -61.4623113, 0.0)",10.64986,-61.4623113,0.0
369,Beetham Estate,Urban Community,3442,"Beetham Estate, Trinidad and Tobago","Excel Beetham Estate Gov't Primary School, Main Street, Laventille, Port of Spain, N/A, Trinidad and Tobago","(10.645733400000001, -61.49643304117218, 0.0)",10.645733400000001,-61.49643304117218,0.0
370,Cantaro Village,Urban Community,4408,"Cantaro Village, Trinidad and Tobago","Cantaro, Santa Cruz, Trinidad and Tobago","(10.7196949, -61.4697178, 0.0)",10.7196949,-61.4697178,0.0
371,Cascade,Urban Community,3987,"Cascade, Trinidad and Tobago","Cascade River Gardens, Saint Ann's, Port of Spain, Trinidad and Tobago","(10.678860700000001, -61.49573142627877, 0.0)",10.678860700000001,-61.49573142627877,0.0
372,Champ Fleurs [↑ partly also in Tunapuna/Piarco],Urban Community,2476,"Champ Fleurs [↑ partly also in Tunapuna/Piarco], Trinidad and Tobago",,,,,
373,Eastern Quarry,Urban Community,5043,"Eastern Quarry, Trinidad and Tobago","Eastern Quarry Road, John John, Port of Spain, N/A, Trinidad and Tobago","(10.6521292, -61.4938526, 0.0)",10.6521292,-61.4938526,0.0
374,El Socorro,Urban Community,8049,"El Socorro, Trinidad and Tobago","El Socorro, Port of Spain, 1868 774-7322, Trinidad and Tobago","(10.6339464, -61.4514533, 0.0)",10.6339464,-61.4514533,0.0
375,El Socorro Extension,Urban Community,2581,"El Socorro Extension, Trinidad and Tobago","El Socorro Extension, Barataria, El Socorro, 1868 774-7322, Trinidad and Tobago","(10.6364999, -61.4534052, 0.0)",10.6364999,-61.4534052,0.0
376,Febeau Village,Urban Community,5253,"Febeau Village, Trinidad and Tobago","Febeau Street, Barataria, San Juan, 868, Trinidad and Tobago","(10.656799, -61.4505941, 0.0)",10.656799,-61.4505941,0.0
377,Gran Curucaye,Urban Community,2323,"Gran Curucaye, Trinidad and Tobago",,,,,
378,La Canoa,Urban Community,3951,"La Canoa, Trinidad and Tobago","La Canoa, Trinidad and Tobago","(10.697682449999999, -61.44633657513921, 0.0)",10.697682449999999,-61.44633657513921,0.0
379,Lady Chancellor,Semi-Urban Community,94,"Lady Chancellor, Trinidad and Tobago","Lady Chancellor Road, Ellerslie Park, Saint Ann's, Port of Spain, 190130, Trinidad and Tobago","(10.6808654, -61.5146772, 0.0)",10.6808654,-61.5146772,0.0
380,La Pastora,Semi-Urban Community,2901,"La Pastora, Trinidad and Tobago","La Pastora, Cantaro, Santa Cruz, Trinidad and Tobago","(10.7231144, -61.4682649, 0.0)",10.7231144,-61.4682649,0.0
381,Las Cuevas,Rural Community,943,"Las Cuevas, Trinidad and Tobago","Las Cuevas, Port of Spain, Trinidad and Tobago","(10.7836012, -61.3894584, 0.0)",10.7836012,-61.3894584,0.0
382,Laventille,Urban Community,11311,"Laventille, Trinidad and Tobago","Laventille, Port of Spain, N/A, Trinidad and Tobago","(10.6486237, -61.4900529, 0.0)",10.6486237,-61.4900529,0.0
383,Lower Santa Cruz,Urban Community,576,"Lower Santa Cruz, Trinidad and Tobago",,,,,
384,Malick,Urban Community,8910,"Malick, Trinidad and Tobago","Malick Trace, Barataria, Port of Spain, 120110, Trinidad and Tobago","(10.6570784, -61.4601507, 0.0)",10.6570784,-61.4601507,0.0
385,Maracas,Rural Community,951,"Maracas, Trinidad and Tobago","Maracas, Port of Spain, Trinidad and Tobago","(10.7565233, -61.4399756, 0.0)",10.7565233,-61.4399756,0.0
386,Maracas Bay,Rural Community,150,"Maracas Bay, Trinidad and Tobago","Maracas Bay, Fishing Bay Road, Cantaro, Maracas, Trinidad and Tobago","(10.762669899999999, -61.433826228041625, 0.0)",10.762669899999999,-61.433826228041625,0.0
387,Marie Road,Urban Community,558,"Marie Road, Trinidad and Tobago","Marie Road, Morvant, Port of Spain, N/A, Trinidad and Tobago","(10.6693267, -61.4878148, 0.0)",10.6693267,-61.4878148,0.0
388,Mon Repos,Urban Community,3128,"Mon Repos, Trinidad and Tobago","Mon Repos, San Fernando, VISTABELLA, Trinidad and Tobago","(10.2832527, -61.4500825, 0.0)",10.2832527,-61.4500825,0.0
389,Morvant,Urban Community,17591,"Morvant, Trinidad and Tobago","Morvant, Port of Spain, N/A, Trinidad and Tobago","(10.6577414, -61.4759089, 0.0)",10.6577414,-61.4759089,0.0
390,Mount d'Or,Urban Community,2412,"Mount d'Or, Trinidad and Tobago","Louis D'or, Roxborough, Tobago, Trinidad and Tobago","(11.2538732, -60.5614864, 0.0)",11.2538732,-60.5614864,0.0
391,Mt. Hope,Urban Community,2218,"Mt. Hope, Trinidad and Tobago","Mount Hope, Port of Spain, 868, Trinidad and Tobago","(10.6543136, -61.4351657, 0.0)",10.6543136,-61.4351657,0.0
392,Mt. Lambert,Urban Community,1941,"Mt. Lambert, Trinidad and Tobago",,,,,
393,Never Dirty,Urban Community,1465,"Never Dirty, Trinidad and Tobago",,,,,
394,Petit Bourg,Urban Community,5171,"Petit Bourg, Trinidad and Tobago","Petit Bourg, Port of Spain, 868, Trinidad and Tobago","(10.651042, -61.4356006, 0.0)",10.651042,-61.4356006,0.0
395,Petit Curucaye,Urban Community,1447,"Petit Curucaye, Trinidad and Tobago",,,,,
396,Picton,Urban Community,2896,"Picton, Trinidad and Tobago","Picton, Arouca, Tunapuna, 686, Trinidad and Tobago","(10.6440764, -61.3854721, 0.0)",10.6440764,-61.3854721,0.0
397,Romain Lands,Urban Community,916,"Romain Lands, Trinidad and Tobago","Romain Lands, Morvant, Port of Spain, N/A, Trinidad and Tobago","(10.6694291, -61.4811915, 0.0)",10.6694291,-61.4811915,0.0
398,Sam Boucaud,Urban Community,2357,"Sam Boucaud, Trinidad and Tobago","Sam Boucaud Gardens, Cantaro, Santa Cruz, Trinidad and Tobago","(10.7145627, -61.4777716677678, 0.0)",10.7145627,-61.4777716677678,0.0
399,San Juan,Urban Community,15772,"San Juan, Trinidad and Tobago","San Juan, Port of Spain, 868 370-8825, Trinidad and Tobago","(10.6486053, -61.450882, 0.0)",10.6486053,-61.450882,0.0
400,Santa Cruz,Urban Community,1087,"Santa Cruz, Trinidad and Tobago","Santa Cruz, Port of Spain, Trinidad and Tobago","(10.710225, -61.4741636, 0.0)",10.710225,-61.4741636,0.0
401,Soconusco,Urban Community,1192,"Soconusco, Trinidad and Tobago",,,,,
402,St. Anns,Urban Community,3056,"St. Anns, Trinidad and Tobago","St. Anns, Ellerslie Park, Saint Ann's, Port of Spain, 000, Trinidad and Tobago","(10.6854614, -61.5059854, 0.0)",10.6854614,-61.5059854,0.0
403,St. Barbs,Urban Community,5100,"St. Barbs, Trinidad and Tobago","St Barbs Road, John John, Port of Spain, N/A, Trinidad and Tobago","(10.6606186, -61.4914066, 0.0)",10.6606186,-61.4914066,0.0
404,Upper Belmont,Urban Community,3767,"Upper Belmont, Trinidad and Tobago","Belmont, Port of Spain, 000, Trinidad and Tobago","(10.6685371, -61.507102, 0.0)",10.6685371,-61.507102,0.0
405,Siparia,Region,86949,"Siparia, Trinidad and Tobago","Siparia, Trinidad and Tobago","(10.14716065, -61.57870316884424, 0.0)",10.14716065,-61.57870316884424,0.0
406,Apex Oil Field,Semi-Urban Community,583,"Apex Oil Field, Trinidad and Tobago",,,,,
407,Aripero Village,Urban Community,2709,"Aripero Village, Trinidad and Tobago","Aripero, Siparia, Trinidad and Tobago","(10.2200272, -61.5680364, 0.0)",10.2200272,-61.5680364,0.0
408,Avocat Village,Urban Community,1820,"Avocat Village, Trinidad and Tobago","Avocat Dr Ex, Bamboo Settlement Number 3, Valsayn, 12333, Trinidad and Tobago","(10.6275972, -61.4124142, 0.0)",10.6275972,-61.4124142,0.0
409,Bamboo Village,Rural Community,611,"Bamboo Village, Trinidad and Tobago","bamboo village, Penal-Debe, -, Trinidad and Tobago","(10.2540088, -61.4740448, 0.0)",10.2540088,-61.4740448,0.0
410,Beach Camp,Semi-Urban Community,584,"Beach Camp, Trinidad and Tobago","Beach Camp, Palo Seco, Palo Seco, Siparia, Trinidad and Tobago","(10.07351955, -61.58579154989132, 0.0)",10.07351955,-61.58579154989132,0.0
411,Bennet Village,Semi-Urban Community,552,"Bennet Village, Trinidad and Tobago",,,,,
412,Bois Bough,Semi-Urban Community,552,"Bois Bough, Trinidad and Tobago",,,,,
413,Bonasse Village,Rural Community,659,"Bonasse Village, Trinidad and Tobago",,,,,
414,Brighton,Semi-Urban Community,18,"Brighton, Trinidad and Tobago","Brighton Street, Point Fortin, 700147, Trinidad and Tobago","(10.1767264, -61.6411812, 0.0)",10.1767264,-61.6411812,0.0
415,Carapal,Semi-Urban Community,414,"Carapal, Trinidad and Tobago","Carapal Branch Road, Erin, Siparia, Trinidad and Tobago","(10.0808558, -61.6576018, 0.0)",10.0808558,-61.6576018,0.0
416,Cedros,Rural Community,849,"Cedros, Trinidad and Tobago","Cedros, Siparia, Trinidad and Tobago","(10.0927871, -61.8602262, 0.0)",10.0927871,-61.8602262,0.0
417,Chatham,Semi-Urban Community,1640,"Chatham, Trinidad and Tobago","Chatham Beach Road South, Buenos Ayres, Siparia, Trinidad and Tobago","(10.1076542, -61.7359824, 0.0)",10.1076542,-61.7359824,0.0
418,Chinese Village,Urban Community,697,"Chinese Village, Trinidad and Tobago","Nice Food Chinese Restaurant, 182, Eastern Main Road, Sunrise Park, Arouca, Bon Air, 350509, Trinidad and Tobago","(10.633868, -61.33432, 0.0)",10.633868,-61.33432,0.0
419,Cochrane [↑ partly also in Point Fortin],Semi-Urban Community,1026,"Cochrane [↑ partly also in Point Fortin], Trinidad and Tobago",,,,,
420,Coromandel,Rural Community,1306,"Coromandel, Trinidad and Tobago","Coromandel Recreation Ground, Sankarali Trace, Siparia, Trinidad and Tobago","(10.131504849999999, -61.80297221867691, 0.0)",10.131504849999999,-61.80297221867691,0.0
421,Danny Village,Semi-Urban Community,328,"Danny Village, Trinidad and Tobago",,,,,
422,De Gannes Village,Urban Community,2034,"De Gannes Village, Trinidad and Tobago",,,,,
423,Delhi Settlement,Urban Community,3327,"Delhi Settlement, Trinidad and Tobago",,,,,
424,Dow Village,Urban Community,2374,"Dow Village, Trinidad and Tobago","Dow Village, Couva, Couva-Tabaquite-Talparo, Trinidad and Tobago","(10.4013373, -61.4681038, 0.0)",10.4013373,-61.4681038,0.0
425,Erin/Buenos Ayres,Semi-Urban Community,430,"Erin/Buenos Ayres, Trinidad and Tobago","Erin Road, Buenos Ayres, Siparia, Trinidad and Tobago","(10.0893487, -61.6720983, 0.0)",10.0893487,-61.6720983,0.0
426,Erin Proper,Rural Community,403,"Erin Proper, Trinidad and Tobago",,,,,
427,Forest Reserve,Semi-Urban Community,58,"Forest Reserve, Trinidad and Tobago",Trinidad and Tobago,"(10.8677845, -60.9821067, 0.0)",10.8677845,-60.9821067,0.0
428,Fullerton,Rural Community,652,"Fullerton, Trinidad and Tobago","Fullerton, Siparia, Trinidad and Tobago","(10.0898253, -61.8822847, 0.0)",10.0898253,-61.8822847,0.0
429,Fyzabad,Urban Community,2630,"Fyzabad, Trinidad and Tobago","Fyzabad, Siparia, Trinidad and Tobago","(10.1802665, -61.5467618, 0.0)",10.1802665,-61.5467618,0.0
430,Gheerahoo,Semi-Urban Community,275,"Gheerahoo, Trinidad and Tobago","Gheerahoo Tr, Fyzabad, Siparia, Trinidad and Tobago","(10.179532, -61.5658036, 0.0)",10.179532,-61.5658036,0.0
431,Granville,Semi-Urban Community,401,"Granville, Trinidad and Tobago","Granville Road, Bamboo, Siparia, Trinidad and Tobago","(10.1179463, -61.8075051, 0.0)",10.1179463,-61.8075051,0.0
432,Guapo Lot 10,Semi-Urban Community,326,"Guapo Lot 10, Trinidad and Tobago","Guapo, Siparia, 700147, Trinidad and Tobago","(10.1780186, -61.6472798, 0.0)",10.1780186,-61.6472798,0.0
433,Harris Village,Urban Community,1726,"Harris Village, Trinidad and Tobago","Trinidad y Tobago, Ba. Las Américas, Conavi, Hernandarias, Alto Paraná, Región Oriental, 7220, Paraguay","(-25.4053367, -54.6225708, 0.0)",-25.4053367,-54.6225708,0.0
434,Icacos,Rural Community,1093,"Icacos, Trinidad and Tobago","Icacos, Siparia, Trinidad and Tobago","(10.0466232, -61.9115551, 0.0)",10.0466232,-61.9115551,0.0
435,Jacob Village,Urban Community,604,"Jacob Village, Trinidad and Tobago","Trinidad y Tobago, Ba. Las Américas, Conavi, Hernandarias, Alto Paraná, Región Oriental, 7220, Paraguay","(-25.4053367, -54.6225708, 0.0)",-25.4053367,-54.6225708,0.0
436,La Brea,Urban Community,3072,"La Brea, Trinidad and Tobago","La Brea, Siparia, Trinidad and Tobago","(10.2371083, -61.6158925, 0.0)",10.2371083,-61.6158925,0.0
437,La Fortune/Pluck,Urban Community,1738,"La Fortune/Pluck, Trinidad and Tobago","La Fortune Pluck Road, Siparia, -, Trinidad and Tobago","(10.2000732, -61.4907515, 0.0)",10.2000732,-61.4907515,0.0
438,Lorensotte,Urban Community,767,"Lorensotte, Trinidad and Tobago","Lorensotte, Siparia, Trinidad and Tobago","(10.0789602, -61.6216878, 0.0)",10.0789602,-61.6216878,0.0
439,Los Bajos,Urban Community,663,"Los Bajos, Trinidad and Tobago","Los Bajos, Siparia, Trinidad and Tobago","(10.1085721, -61.5725741, 0.0)",10.1085721,-61.5725741,0.0
